country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
FRA,discards,8B-BOB,DREDGE,WHG,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,DREDGE,WHG,NONE,O10T15M,2015,
FRA,discards,8B-BOB,DEM_SEINE,WHG,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,DEM_SEINE,WHG,NONE,O15M,2015,
BEL,discards,8B-BOB,BEAM,WHG,SBCIIIART5,O15M,2015,0.462866
FRA,discards,8A-BOB,TRAMMEL,WHG,SBCIIIART5,U10M,2015,1.582251
FRA,discards,8A-BOB,TRAMMEL,WHG,SBCIIIART5,O15M,2015,53.580025
FRA,discards,8A-BOB,TRAMMEL,WHG,SBCIIIART5,O10T15M,2015,92.459038
FRA,discards,8A-BOB,TRAMMEL,WHG,NONE,U10M,2015,14.561454
FRA,discards,8A-BOB,TRAMMEL,WHG,NONE,O15M,2015,0.02585
FRA,discards,8A-BOB,TRAMMEL,WHG,NONE,O10T15M,2015,29.588136
FRA,discards,8A-BOB,POTS,WHG,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,POTS,WHG,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,POTS,WHG,NONE,U10M,2015,
FRA,discards,8A-BOB,POTS,WHG,NONE,O10T15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,WHG,SBCIIIART5,O15M,2015,94.47301
FRA,discards,8A-BOB,PEL_TRAWL,WHG,SBCIIIART5,O10T15M,2015,76.637
FRA,discards,8A-BOB,PEL_TRAWL,WHG,NONE,O15M,2015,54.77743
FRA,discards,8A-BOB,PEL_TRAWL,WHG,NONE,O10T15M,2015,41.867
FRA,discards,8A-BOB,PEL_SEINE,WHG,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,PEL_SEINE,WHG,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,WHG,SBCIIIART5,U10M,2015,2.282
FRA,discards,8A-BOB,OTTER,WHG,SBCIIIART5,O15M,2015,362.925994
BEL,discards,8A-BOB,OTTER,WHG,SBCIIIART5,O15M,2015,0.001
FRA,discards,8A-BOB,OTTER,WHG,SBCIIIART5,O10T15M,2015,787.506152
FRA,discards,8A-BOB,OTTER,WHG,NONE,U10M,2015,65.493
FRA,discards,8A-BOB,OTTER,WHG,NONE,O15M,2015,79.615066
ESP,discards,8A-BOB,OTTER,WHG,NONE,O15M,2015,14.601
